0.0050000000,0.1910334155,300.0014160156,-0.0000359839,-0.0001417080,-0.0002571013,-0.0001851286
0.0050000000,100.1896793365,300.0006454468,-0.0000356191,-0.0001414343,-0.0002581959,-0.0001853111
0.0050000000,200.2381225586,300.0013397217,-0.0000353454,-0.0001408870,-0.0002571012,-0.0001854023
0.0050000000,300.1053436279,299.9993835449,-0.0000364400,-0.0001417992,-0.0002571012,-0.0001833042
0.0050000000,400.3407196045,300.0009521484,-0.0000360752,-0.0001415255,-0.0002570100,-0.0001859496
0.0050000000,500.3687591553,300.0011642456,-0.0000368961,-0.0001421640,-0.0002586520,-0.0001855847
0.0050000000,600.1902679443,300.0013946533,-0.0000362576,-0.0001424376,-0.0002577397,-0.0001834867
0.0050000000,700.4036193848,300.0017150879,-0.0000353454,-0.0001416167,-0.0002557328,-0.0001846725
0.0050000000,800.4487854004,300.0007553101,-0.0000358015,-0.0001420728,-0.0002571924,-0.0001836691
0.0050000000,900.3225280762,300.0017028809,-0.0000347068,-0.0001412518,-0.0002550942,-0.0000721070
0.0050000000,1000.5611968994,300.0015930176,-0.0000017764,-0.0001107843,-0.0001891422,-0.0001037604
0.0050000000,1000.5530090332,300.0013122559,-0.0000034184,-0.0001126087,-0.0001921525,-0.0001071355
0.0050000000,1500.3176818848,300.0016525269,-0.0000077969,-0.0001150716,-0.0001984466,-0.0001176258
